Crop_Type,Soil_Type,Pesticide_Use_Category,Estimated_Insects_Count,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
Kharif,Black-Cotton,Bactericides,488,30,26,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1678,20,30,20,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1576,20,37,8,Winter,Partial Damage
Rabi,Alluvial,Bactericides,531,10,37,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2401,40,30,17,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2542,60,52,9,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1212,60,19,25,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,1678,20,19,25,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,1785,40,50,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,3895,60,22,37,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,3164,15,45,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2402,20,40,5,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1786,30,42,5,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2840,20,50,8,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,410,40,23,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,2402,20,42,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2139,20,25,23,Winter,Partial Damage
Kharif,Black-Cotton,Bactericides,488,30,30,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3164,80,50,15,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,1576,20,43,0,Monsoon,Partial Damage
Kharif,Alluvial,Insecticides,577,0,0,0,Summer,Partial Damage
Kharif,Black-Cotton,Bactericides,2139,20,51,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1576,30,32,15,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,448,20,28,2,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,577,20,37,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,984,40,43,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2267,20,35,16,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,1898,15,52,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,3895,60,55,8,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2688,10,44,10,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,1575,30,48,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,3516,20,35,0,Winter,Partial Damage
Rabi,Alluvial,Bactericides,2401,10,54,0,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,2688,20,55,0,Winter,Partial Damage
Rabi,Alluvial,Bactericides,1898,30,51,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1478,10,10,15,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2840,5,15,8,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2999,40,54,24,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2840,40,19,38,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1056,90,29,7,Summer,Partial Damage
Kharif,Black-Cotton,Bactericides,1576,10,15,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,40,36,16,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3336,20,13,46,Winter,Partial Damage
Rabi,Alluvial,Herbicides,789,5,18,15,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3896,20,50,10,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,1785,15,49,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,2016,45,52,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2688,20,46,27,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1898,20,43,14,Summer,Partial Damage
Rabi,Alluvial,Herbicides,3337,20,40,6,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,4096,20,25,22,Summer,Partial Damage
Rabi,Black-Cotton,Insecticides,2139,0,0,0,Summer,Partial Damage
Kharif,Black-Cotton,Insecticides,342,0,0,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1297,70,40,4,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,3337,20,55,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,3516,30,38,25,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,2139,40,10,20,Monsoon,Partial Damage
Rabi,Alluvial,Insecticides,1478,0,0,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,2401,25,12,40,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,789,15,35,0,Summer,Partial Damage
Rabi,Black-Cotton,Insecticides,915,0,0,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1678,40,29,18,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,851,10,20,12,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,10,10,26,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,851,20,30,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,577,20,33,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2401,30,56,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2402,55,42,11,Monsoon,Partial Damage
Rabi,Black-Cotton,Insecticides,1898,0,0,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2999,10,54,0,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,2015,20,50,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2541,25,38,15,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,677,20,35,4,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,851,40,20,19,Winter,Partial Damage
Rabi,Alluvial,Bactericides,1575,5,42,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2267,20,17,34,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,4096,20,16,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1785,40,11,35,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1576,40,35,15,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1056,20,5,25,Summer,Partial Damage
Kharif,Black-Cotton,Bactericides,2541,10,50,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1385,60,30,19,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1478,20,26,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1785,10,26,5,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,1576,5,40,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,625,20,31,0,Summer,Partial Damage
Kharif,Black-Cotton,Insecticides,3895,0,0,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,790,40,32,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2542,60,33,16,Winter,Partial Damage
Rabi,Alluvial,Insecticides,3516,0,0,0,Summer,Partial Damage
Rabi,Alluvial,Bactericides,2267,20,42,0,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,1785,10,16,32,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,2267,20,48,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,3516,20,39,26,Winter,Partial Damage
Rabi,Alluvial,Bactericides,851,40,40,0,Winter,Partial Damage
Rabi,Alluvial,Bactericides,677,15,37,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,1898,50,37,0,Summer,Partial Damage
Rabi,Alluvial,Bactericides,790,20,39,0,Summer,Partial Damage
Kharif,Alluvial,Insecticides,790,0,0,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1478,40,35,13,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1132,15,37,3,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,1212,20,39,1,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,1297,20,16,25,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1575,20,24,25,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1478,20,34,6,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2267,20,40,10,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2688,10,47,7,Winter,Partial Damage
Kharif,Black-Cotton,Bactericides,1297,40,30,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1212,40,35,6,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2016,20,38,36,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1898,60,50,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,1785,20,46,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3336,20,46,11,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,1212,20,33,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2999,40,33,20,Winter,Partial Damage
Kharif,Alluvial,Bactericides,2999,20,53,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,3702,10,42,6,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,915,15,35,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,2999,10,40,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,2999,10,40,19,Winter,Partial Damage
Rabi,Alluvial,Herbicides,1212,15,36,6,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,2999,10,35,18,Winter,Partial Damage
Rabi,Alluvial,Herbicides,3895,5,8,46,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1212,5,44,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2999,40,31,25,Summer,Partial Damage
Kharif,Alluvial,Bactericides,1678,15,15,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,1478,20,16,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1478,10,43,8,Summer,Partial Damage
Rabi,Alluvial,Bactericides,209,40,22,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2541,30,44,15,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2138,40,25,26,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,30,24,26,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2139,15,52,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,625,40,34,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,3164,20,49,10,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2840,60,50,1,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1786,20,48,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,3337,40,61,3,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,2687,55,30,14,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,1576,35,45,0,Summer,Partial Damage
Kharif,Alluvial,Herbicides,3516,5,30,27,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1576,30,54,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1132,35,38,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2542,20,48,15,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2138,10,13,38,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,80,42,7,Winter,Partial Damage
Rabi,Alluvial,Bactericides,851,40,20,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1786,45,20,25,Winter,Partial Damage
Rabi,Alluvial,Bactericides,984,50,42,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,2267,40,31,20,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,851,50,26,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,2541,15,56,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2267,40,38,17,Summer,Partial Damage
Rabi,Alluvial,Bactericides,1898,20,50,0,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,984,25,31,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,1785,20,43,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1678,20,44,4,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1385,20,41,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1385,30,15,26,Summer,Partial Damage
Kharif,Alluvial,Bactericides,1478,20,41,0,Winter,Partial Damage
Kharif,Alluvial,Bactericides,311,15,24,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1785,40,53,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,916,70,22,16,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,2999,20,15,29,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,1132,30,40,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1576,25,46,0,Summer,Partial Damage
Kharif,Black-Cotton,Bactericides,1296,30,40,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,488,20,14,15,Winter,Partial Damage
Rabi,Alluvial,Bactericides,2999,10,49,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1898,30,55,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2139,40,21,28,Summer,Partial Damage
Rabi,Alluvial,Bactericides,915,40,37,0,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,984,60,40,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2688,10,14,18,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2267,5,49,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,40,36,18,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2139,30,43,12,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,2840,10,50,0,Summer,Partial Damage
Kharif,Alluvial,Bactericides,2401,5,47,0,Summer,Partial Damage
Kharif,Alluvial,Bactericides,2015,15,47,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1898,10,15,24,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1132,30,14,18,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,2016,20,47,0,Summer,Partial Damage
Kharif,Black-Cotton,Bactericides,1212,15,42,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,851,40,26,12,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,411,30,24,3,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2138,30,35,13,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,577,40,12,18,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,851,30,36,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2267,20,40,24,Winter,Partial Damage
Rabi,Alluvial,Bactericides,1898,10,35,0,Summer,Partial Damage
Rabi,Alluvial,Bactericides,731,10,16,0,Winter,Partial Damage
Kharif,Alluvial,Bactericides,1898,20,31,0,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,577,10,30,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1132,5,28,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3164,30,29,7,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,915,20,15,19,Summer,Partial Damage
Rabi,Alluvial,Insecticides,1576,0,0,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2688,20,44,8,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1132,40,42,0,Winter,Partial Damage
Kharif,Alluvial,Bactericides,3896,20,55,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2402,30,45,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,1576,20,15,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,1478,20,30,22,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1478,25,16,18,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,10,22,24,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,790,60,40,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2267,20,38,30,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,677,20,17,18,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2840,10,16,38,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,916,20,35,0,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,1678,25,40,0,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,625,30,22,0,Summer,Partial Damage
Kharif,Alluvial,Herbicides,1785,20,34,10,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2999,10,58,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2541,60,40,11,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,1898,35,47,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,851,10,20,0,Winter,Partial Damage
Kharif,Alluvial,Bactericides,1576,25,47,0,Summer,Partial Damage
Kharif,Alluvial,Bactericides,1212,20,39,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,915,15,25,15,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,2541,10,55,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3165,10,32,17,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,2016,50,41,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,2688,50,35,22,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1786,40,26,24,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1785,15,44,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,984,25,34,9,Summer,Partial Damage
Kharif,Alluvial,Herbicides,2016,20,42,7,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2015,60,21,18,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,209,40,24,0,Monsoon,Partial Damage
Kharif,Alluvial,Insecticides,3895,0,0,0,Summer,Partial Damage
Kharif,Alluvial,Herbicides,2267,20,29,25,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,2139,20,43,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1212,10,25,9,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1576,20,33,10,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1132,30,21,21,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2401,40,12,22,Monsoon,Partial Damage
Kharif,Alluvial,Insecticides,1297,0,0,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,3337,20,50,8,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2401,20,45,13,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,851,15,30,14,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,2267,20,58,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2139,20,30,11,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2139,20,42,7,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,1678,10,45,0,Monsoon,Partial Damage
Kharif,Alluvial,Insecticides,2688,0,0,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,2139,30,46,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,851,20,37,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2840,40,39,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2138,30,37,14,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1385,60,28,15,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3337,40,37,20,Monsoon,Partial Damage
Rabi,Alluvial,Insecticides,448,0,0,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,732,20,33,1,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,3516,20,47,29,Summer,Partial Damage
Rabi,Alluvial,Bactericides,2267,10,48,0,Summer,Partial Damage
Rabi,Alluvial,Bactericides,2402,10,55,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,2999,5,55,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1678,60,38,10,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2999,40,42,17,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1056,20,16,25,Winter,Partial Damage
Rabi,Alluvial,Herbicides,1575,20,30,23,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1576,5,25,13,Summer,Partial Damage
Rabi,Alluvial,Bactericides,916,50,40,0,Winter,Partial Damage
Kharif,Alluvial,Herbicides,1297,40,34,6,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2999,40,28,34,Monsoon,Partial Damage
Kharif,Black-Cotton,Insecticides,3896,0,0,0,Winter,Partial Damage
Rabi,Alluvial,Bactericides,1056,20,32,0,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,2401,10,30,20,Summer,Partial Damage
Rabi,Alluvial,Bactericides,1478,20,45,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1576,20,34,11,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2015,20,44,8,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1678,20,30,9,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,915,60,20,0,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,790,40,34,4,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2542,10,25,6,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,25,20,25,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,188,20,16,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1132,10,22,20,Winter,Partial Damage
Rabi,Alluvial,Herbicides,1678,20,27,23,Winter,Partial Damage
Rabi,Alluvial,Herbicides,1678,40,25,6,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,1785,5,49,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,448,20,32,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,915,20,35,0,Monsoon,Partial Damage
Kharif,Alluvial,Insecticides,312,0,0,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,790,30,32,6,Summer,Partial Damage
Kharif,Alluvial,Herbicides,1678,40,22,29,Winter,Partial Damage
Rabi,Alluvial,Herbicides,3515,10,40,22,Summer,Partial Damage
Kharif,Alluvial,Insecticides,488,0,0,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,531,20,12,18,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1478,15,34,7,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2016,20,26,15,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,2016,20,49,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,488,30,28,0,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,3336,40,39,26,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2999,40,32,24,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,1478,20,38,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2840,40,58,3,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,2999,15,55,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2015,15,19,28,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,1297,20,42,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,2840,5,56,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,2267,20,49,3,Winter,Partial Damage
Rabi,Alluvial,Bactericides,2016,30,50,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1478,25,35,0,Winter,Partial Damage
Rabi,Black-Cotton,Bactericides,851,20,40,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2401,15,40,20,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1576,40,38,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,3164,10,59,0,Monsoon,Partial Damage
Kharif,Alluvial,Herbicides,2542,10,30,12,Winter,Partial Damage
Kharif,Alluvial,Bactericides,1132,20,20,0,Monsoon,Partial Damage
Kharif,Alluvial,Insecticides,1132,0,0,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,625,30,21,19,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2840,30,56,3,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,731,40,35,2,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,1132,25,35,8,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1478,40,27,14,Summer,Partial Damage
Kharif,Black-Cotton,Bactericides,1385,20,28,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1678,40,44,4,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,2688,15,40,0,Summer,Partial Damage
Kharif,Alluvial,Bactericides,411,40,30,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1576,30,47,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,789,20,20,8,Winter,Partial Damage
Kharif,Alluvial,Bactericides,1478,20,43,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,2999,20,15,39,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,1785,40,48,0,Summer,Partial Damage
Rabi,Alluvial,Herbicides,1296,30,34,6,Summer,Partial Damage
Rabi,Alluvial,Insecticides,3336,0,0,0,Winter,Partial Damage
Rabi,Alluvial,Herbicides,2267,15,33,18,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,1132,30,30,0,Summer,Partial Damage
Kharif,Alluvial,Bactericides,1212,15,40,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2138,20,31,11,Summer,Partial Damage
Kharif,Alluvial,Herbicides,915,30,20,17,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2016,40,33,5,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1385,20,43,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,916,20,44,0,Monsoon,Partial Damage
Rabi,Alluvial,Bactericides,1056,20,20,0,Monsoon,Partial Damage
Kharif,Black-Cotton,Bactericides,2401,40,40,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,3164,20,47,8,Winter,Partial Damage
Kharif,Alluvial,Bactericides,3516,15,27,0,Winter,Partial Damage
Kharif,Alluvial,Bactericides,1898,15,38,0,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2401,5,40,18,Monsoon,Partial Damage
Rabi,Black-Cotton,Bactericides,1212,20,35,0,Summer,Partial Damage
Rabi,Black-Cotton,Herbicides,1385,10,20,11,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,1898,25,32,13,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,2139,20,49,9,Monsoon,Partial Damage
Rabi,Alluvial,Herbicides,984,30,46,1,Monsoon,Partial Damage
Rabi,Black-Cotton,Herbicides,984,40,16,22,Summer,Partial Damage
Rabi,Alluvial,Bactericides,2541,10,53,0,Summer,Partial Damage
Kharif,Black-Cotton,Bactericides,1056,25,39,0,Summer,Partial Damage
Rabi,Black-Cotton,Bactericides,984,40,42,0,Monsoon,Partial Damage
Kharif,Alluvial,Bactericides,915,40,39,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,984,60,16,19,Summer,Partial Damage
Rabi,Alluvial,Bactericides,1898,10,20,0,Winter,Partial Damage
Rabi,Black-Cotton,Herbicides,1478,20,37,6,Monsoon,Partial Damage
Kharif,Alluvial,Insecticides,209,0,0,0,Monsoon,Partial Damage
Rabi,Black-Cotton,Insecticides,2999,0,0,0,Monsoon,Partial Damage
Rabi,Alluvial,Insecticides,677,0,0,0,Monsoon,Partial Damage
